date,open,high,low,close,volume
2025-05-19,450.875,459.585,450.8,458.87,21336388.0
2025-05-20,455.59,458.34,454.3201,458.17,15441659.0
2025-05-21,454.57,457.78,451.814,452.57,19216872.0
2025-05-22,454.95,460.25,453.9,454.86,18025449.0
2025-05-23,449.98,453.69,448.91,450.18,16883407.0
2025-05-27,456.48,460.95,456.115,460.69,20974292.0
2025-05-28,461.22,462.52,456.93,457.36,17085586.0
2025-05-29,461.55,461.72,455.3105,458.68,13982163.0
2025-05-30,459.715,461.68,455.54,460.36,34770374.0
2025-06-02,457.14,462.11,456.89,461.97,16625782.0
2025-06-03,461.47,464.14,460.8622,462.97,15743281.0
2025-06-04,464.0,465.69,463.0201,463.87,14161988.0
2025-06-05,464.955,469.65,464.03,467.68,20154456.0
2025-06-06,470.085,473.335,468.78,470.38,15285140.0
2025-06-09,469.7,473.43,468.62,472.75,16469925.0
2025-06-10,471.185,472.8,466.96,470.92,15375149.0
2025-06-11,470.02,475.47,469.655,472.62,16399156.0
2025-06-12,475.02,480.415,473.52,478.87,18949966.0
2025-06-13,476.41,479.18,472.76,474.96,16814104.0
2025-06-16,475.21,480.6943,475.0,479.14,15625960.0
2025-06-17,475.395,478.7399,474.08,478.04,15414038.0
2025-06-18,478.0,481.0,474.46,480.24,17526452.0
2025-06-20,482.23,483.46,476.87,477.4,37575188.0
2025-06-23,478.21,487.75,472.51,486.0,24863115.0
2025-06-24,488.95,491.849,486.795,490.11,22305462.0
2025-06-25,492.04,494.5556,489.39,492.27,17494403.0
2025-06-26,492.98,498.04,492.81,497.45,21577716.0
2025-06-27,497.55,499.3,493.03,495.94,34538819.0
2025-06-30,497.04,500.76,495.33,497.41,28368982.0
2025-07-01,496.47,498.05,490.98,492.05,19944944.0
2025-07-02,489.99,493.5,488.7,491.09,16319540.0
2025-07-03,493.81,500.13,493.44,498.84,13876822.0
2025-07-07,497.38,498.75,495.225,497.72,13980716.0
2025-07-08,497.24,498.2,494.11,496.62,11846586.0
2025-07-09,500.3,506.78,499.74,503.51,18659472.0
2025-07-10,503.05,504.44,497.75,501.48,16498634.0
2025-07-11,498.47,505.03,497.795,503.32,16458625.0
2025-07-14,501.515,503.97,501.03,503.02,12058697.0
2025-07-15,503.02,508.3,502.79,505.82,14927202.0
2025-07-16,505.18,506.72,501.89,505.62,15154053.0
2025-07-17,505.68,513.37,505.62,511.7,17502824.0
2025-07-18,514.48,514.64,507.43,510.05,21209414.0
2025-07-21,506.705,512.09,505.55,510.06,14066671.0
2025-07-22,510.97,511.2,505.27,505.27,13868644.0
2025-07-23,506.75,506.79,500.7,505.87,16395816.0
2025-07-24,508.77,513.67,507.3,510.88,16106426.0
2025-07-25,512.465,518.29,510.3592,513.71,19125274.0
2025-07-28,514.08,515.0,510.12,512.5,14307789.0
2025-07-29,515.53,517.62,511.56,512.57,16468768.0
2025-07-30,515.17,515.95,509.435,513.24,26380401.0
2025-07-31,555.225,555.45,531.9,533.5,51616979.0
2025-08-01,535.0,535.8,520.86,524.11,28977281.0
2025-08-04,528.27,538.25,528.13,535.64,25348886.0
